ADM1_EN,F_TL,M_TL,T_TL
Abia,2094668,2048425,4143093
Adamawa,2446708,2455347,4902055
Akwa Ibom,2487982,2491436,4979418
Anambra,2983151,2970366,5953517
Bauchi,4160248,4148535,8308783
Bayelsa,1267098,1270277,2537375
Benue,3105106,3036178,6141284
Borno,3029395,3082067,6111462
Cross River,2207001,2199203,4406204
Delta,2829285,2806860,5636145
Ebonyi,1703744,1538774,3242518
Edo,2382155,2394887,4777042
Ekiti,1799478,1792685,3592163
Enugu,2451113,2238940,4690053
Federal Capital Territory,1484198,1583259,3067457
Gombe,1907881,2052241,3960122
Imo,2748610,2710727,5459337
Jigawa,3818803,3704594,7499059
Kaduna,4581564,4450617,9032181
Kano,7436564,8025613,15462177
Katsina,5203404,5165079,10368483
Kebbi,2829460,2734447,5563907
Kogi,2247148,2219653,4466801
Kwara,1791950,1759073,3551023
Lagos,6542571,6949233,13491804
Nasarawa,1463465,1422557,2886022
Niger,3426921,3356404,6783325
Ogun,3232585,3146947,6379532
Ondo,2670882,2645721,5316603
Osun,2219961,2215842,4435803
Oyo,4020046,3956035,7976081
Plateau,2408394,2308911,4717305
Rivers,3685567,3791238,7476805
Sokoto,3237546,3153501,6391047
Taraba,1800432,1809411,3609843
Yobe,1794832,1854775,3649607
Zamfara,2959893,2873601,5833494
